strain	date	country	state	division	host	lineage	authors	journal	title	url	latitude	longitude
KJ501238	2008-08-11	USA	MN	MN/Lacqui_Parle	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501238	44.9955	-96.1734
KJ501386	2007-07-27	USA	MT	MT/Phillips	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501386	48.2591	-107.9133
KJ501500	2009-12-22	USA	MD	MD/Talbot	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501500	38.7761	-76.0876
KJ501260	2008-07-30	USA	SD	SD/Day	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501260	45.3672	-97.6074
KJ501518	2007-07-27	USA	MT	MT/Phillips	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501518	48.2591	-107.9133
KJ501250	2009-08-24	USA	MT	MT/Phillips	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501250	48.2591	-107.9133
KJ501461	2005-09-01	USA	MT	MT/Phillips	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501461	27.937	-82.7197
KJ501239	2008-08-15	USA	MN	MN/Lacqui_Parle	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501239	44.9955	-96.1734
KJ501240	2008-10-02	USA	MN	MN/Lacqui_Parle	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501240	44.9955	-96.1734
KJ501255	2008-08-27	USA	ND	ND/Stutsman	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501255	46.9793	-98.9588
KJ501236	2009-09-14	USA	CA	CA/Imperial	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501236	33.0412	-115.364
KJ501441	2008-10-01	USA	SD	SD/Pennington	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501441	44.0037	-102.8238
KJ501293	2003-10-02	USA	MD	MD/Prince_George's	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501293	38.8325	-76.8445
KJ501276	2002-08-23	USA	OH	OH/Hancock	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501276	41.0019	-83.6665
KJ501374	2001-11-06	USA	NJ	NJ/Union	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501374	40.6601	-74.3107
KJ501493	2001-10-02	USA	DC	DC/District_of_Columbia	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501493	38.9102	-77.0145
KJ501465	2001-08-24	USA	MI	MI/Oakland	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501465	42.6604	-83.3858
KJ501515	2001-10-31	USA	NJ	NJ/Middlesex	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501515	40.4384	-74.413
KJ501277	2001-08-22	USA	PA	PA/Philadelphia	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501277	40.0097	-75.1337
KJ501269	2001-10-25	USA	NJ	NJ/Middlesex	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501269	40.4384	-74.413
KJ501486	2001-09-17	USA	NJ	NJ/Mercer	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501486	40.2833	-74.7017
KJ501378	2001-09-20	USA	PA	PA/Bucks	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501378	40.3369	-75.1068
KJ501288	2001-09-18	USA	DC	DC/District_of_Columbia	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501288	38.9102	-77.0145
KJ501494	2001-09-18	USA	DC	DC/District_of_Columbia	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501494	38.9102	-77.0145
KJ501289	2001-10-02	USA	DC	DC/District_of_Columbia	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501289	38.9102	-77.0145
KJ501343	2001-09-04	USA	DC	DC/District_of_Columbia	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501343	38.9102	-77.0145
KJ501362	2001-10-01	USA	OH	OH/Cuyahoga	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501362	41.4243	-81.6586
KJ501516	2001-09-20	USA	OH	OH/Wood	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501516	41.3617	-83.623
KJ501480	2001-09-13	USA	MD	MD/Anne_Arundel	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501480	39.0052	-76.6117
KJ501379	2001-09-27	USA	WI	WI/Dane	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501379	43.0673	-89.4182
KJ501233	2001-09-19	USA	AR	AR/Union	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501233	33.1714	-92.5973
KJ501468	2001-09-27	USA	MS	MS/Adams	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501468	31.4829	-91.3533
KJ501473	2001-09-27	USA	IL	IL/Dupage	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501473	41.852	-88.0856
KJ501264	2001-09-13	USA	GA	GA/Fulton	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501264	33.7903	-84.4671
KJ501455	2001-09-14	USA	AL	AL/Montgomery	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501455	32.2202	-86.2076
DQ080071	2002-08-01	USA	FL	FL/Sumter	Horse	NY99	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	28.6964	-82.0038
KJ501268	2001-10-31	USA	NJ	NJ/Ocean	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501268	39.914	-74.3001
KJ501363	2001-09-14	USA	OH	OH/Franklin	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501363	39.9695	-83.0093
KJ501395	2001-10-04	USA	VA	VA/Arlington	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501395	38.8787	-77.1012
KJ501275	2001-09-14	USA	OH	OH/Cuyahoga	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501275	41.4243	-81.6586
KJ501512	2001-10-02	USA	GA	GA/Fulton	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501512	33.7903	-84.4671
KJ501235	2001-09-26	USA	AR	AR/Sebastian	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501235	35.1995	-94.2738
KJ501234	2001-09-26	USA	AR	AR/Saline	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501234	34.6466	-92.6766
KJ501282	2001-09-27	USA	WI	WI/Waushara	Bird-other	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501282	44.1131	-89.2429
KJ501443	2001-10-19	USA	IL	IL/Will	Bird-crow	NY99	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501443	41.445	-87.9787
KJ501259	2008-01-03	USA	SD	SD/Yankton	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501259	43.009	-97.3946
KJ501241	2009-08-21	USA	MN	MN/Swift	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501241	45.2827	-95.6814
KJ501257	2002-09-01	USA	ND	ND/Grand_Forks	Bird-crow	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501257	47.922	-97.457
KJ501253	2008-04-25	USA	ND	ND/Burleigh	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501253	46.9775	-100.4688
KJ501324	2003-08-29	USA	MN	MN/Otter_Tail	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501324	46.4088	-95.708
KJ501485	2006-07-18	USA	NV	NV/Churchill	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501485	39.5809	-118.3358
KJ501385	2004-08-05	USA	MT	MT/Sheridan	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501385	48.7212	-104.5047
DQ080069	2003-08-01	Mexico	Mexico	Mexico/Tamaulipas	Horse	SW03	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	24.9314	-98.6356
DQ080070	2003-08-01	Mexico	Mexico	Mexico/Sonora	Bird-other	SW03	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	29.3524	-111.6824
DQ080063	2003-08-01	Mexico	Mexico	Mexico/Baja_California	Bird-other	SW03	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	30.2977	-114.9399
DQ080064	2003-08-01	Mexico	Mexico	Mexico/Baja_California	Bird-other	SW03	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	30.2977	-114.9399
DQ080065	2003-08-01	Mexico	Mexico	Mexico/Baja_California	Bird-other	SW03	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	30.2977	-114.9399
DQ080067	2003-08-01	Mexico	Mexico	Mexico/Baja_California	Bird-other	SW03	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	30.2977	-114.9399
DQ080068	2003-08-01	Mexico	Mexico	Mexico/Baja_California	Bird-other	SW03	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	30.2977	-114.9399
DQ080066	2003-08-01	Mexico	Mexico	Mexico/Baja_California	Bird-other	SW03	Deardorff et al	Emerging Infect. Dis. 12 (2), 314-318 (2006)	Introductions of West Nile virus strains to Mexico	https://www.ncbi.nlm.nih.gov/pubmed/16494762	30.2977	-114.9399
KJ501471	2005-08-12	USA	AZ	AZ/Coconino	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501471	35.8387	-111.7705
KJ501335	2005-08-19	USA	WI	WI/Dodge	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501335	43.4163	-88.7075
KJ501323	2003-07-31	USA	MN	MN/Lacqui_Parle	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501323	44.9955	-96.1734
KJ501349	2003-07-31	USA	ND	ND/Logan	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501349	46.4574	-99.4775
KJ501297	2003-08-18	USA	MT	MT/Phillips	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501297	48.2591	-107.9133
KJ501462	2002-09-12	USA	UT	UT/Weber	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501462	41.2699	-111.9133
KJ501348	2003-09-09	USA	NM	NM/Socorro	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501348	34.0072	-106.9303
KJ501330	2005-08-25	USA	ND	ND/McLean	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501330	47.6068	-101.3217
KJ501254	2008-08-21	USA	ND	ND/McLean	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501254	47.6068	-101.3217
KJ501381	2003-07-30	USA	MN	MN/Lacqui_Parle	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501381	44.9955	-96.1734
KJ501459	2003-08-01	USA	OK	OK/Payne	Bird-crow	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501459	36.0773	-96.9758
KJ501470	2003-08-05	USA	SD	SD/Day	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501470	45.3672	-97.6074
KJ501474	2002-09-27	USA	IA	IA/Kossuth	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501474	43.2041	-94.2067
KJ501507	2001-08-30	USA	SD	SD/Bennett	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501507	43.195	-101.6642
KJ501326	2003-08-06	USA	MT	MT/Sheridan	Bird-other	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501326	48.7212	-104.5047
KJ501354	2003-09-25	USA	OK	OK/Payne	Bird-crow	SW03	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501354	36.0773	-96.9758
KJ501382	2003-08-29	USA	MN	MN/Otter_Tail	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501382	46.4088	-95.708
KJ501327	2003-08-06	USA	MT	MT/Phillips	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501327	48.2591	-107.9133
KJ501372	2003-10-09	USA	FL	FL/Seminole	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501372	28.7174	-81.2363
KJ501350	2003-08-06	USA	ND	ND/Sargent	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501350	46.1079	-97.6307
KJ501504	2003-08-13	USA	ND	ND/Burleigh	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501504	46.9775	-100.4688
KJ501467	2002-09-27	USA	MI	MI/Wayne	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501467	42.2865	-83.2895
KJ501506	2003-09-30	USA	OK	OK/Payne	Bird-crow	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501506	36.0773	-96.9758
KJ501488	2003-07-23	USA	ND	ND/Stutsman	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501488	46.9793	-98.9588
