strain	date	country	state	division	host	lineage	authors	journal	title	url	latitude	longitude
AY795965	2002-08-01	USA	MI	MI/Isabella	Unknown	WN02	Grinev et al	Submitted (27-OCT-2004) CBER/DTTD/LMV, FDA, 1401 Rockville Pike, HFM-310, Rockville, MD 20852-1448, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/AY795965	43.7389	-84.6273
KJ501251	2009-09-11	USA	MT	MT/Flathead	Bird-crow	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501251	48.2952	-114.0498
KJ501267	2005-09-07	USA	NV	NV/Pershing	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501267	40.4404	-118.4044
KJ501341	2005-08-01	USA	CA	CA/Glenn	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501341	39.599	-122.3915
KJ501342	2005-09-15	USA	CA	CA/San_Diego	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501342	33.0358	-116.732
KJ501329	2003-08-05	USA	ND	ND/Morton	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501329	46.7163	-101.2823
KJ501440	2008-07-30	USA	SD	SD/Day	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501440	45.3672	-97.6074
KJ501242	2010-09-07	USA	MN	MN/Swift	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501242	45.2827	-95.6814
KJ501442	2010-05-19	USA	AZ	AZ/Maricopa	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501442	33.3488	-112.4912
KJ501308	2010-09-13	USA	MN	MN/Swift	Bird-other	WN02	Newman et al	Submitted (24-FEB-2014) Broad Institute of MIT & Harvard, 7 Cambridge Center, Cambridge, MA 02142, USA	Direct Submission	https://www.ncbi.nlm.nih.gov/nuccore/KJ501308	45.2827	-95.6814
