AF196835,9/15/99,USA,NY,Bronx,Bird-other,NY99,
AF202541,8/28/99,USA,NY,Madison,Human,NY99,
AF206518,9/14/99,USA,CT,Fairfield,Mosquito-Culex,NY99,
AF260967,8/1/99,USA,NY,New_York,Horse,NY99,
AF404753,8/1/00,USA,MD,Baltimore,Bird-crow,NY99,
AF404754,8/1/00,USA,NJ,Bergen,Mosquito-Culex,NY99,
AF404755,8/1/00,USA,NY,Oswego,Bird-other,NY99,
AF404756,8/1/00,USA,NY,Rockland,Bird-crow,NY99,
AF533540,9/15/01,USA,NY,Nassau,Human,NY99,
AY289214,8/15/02,USA,TX,Jefferson,Human,NY99,
AY646354,8/1/02,USA,NY,Madison,Human,WN02,
AY712945,8/1/03,USA,TX,Harris,Bird-other,WN02,
AY712946,8/1/03,USA,TX,Harris,Bird-other,WN02,
AY712947,8/1/03,USA,TX,Harris,Bird-other,WN02,
AY712948,8/1/03,USA,TX,Harris,Mosquito-Culex,WN02,
AY795965,8/1/02,USA,MI,Isabella,Unknown,WN02,
DQ005530,8/1/03,USA,UT,Sanpete,Human,WN02,
DQ080051,8/1/03,USA,AZ,Cochise,Mosquito-Culex,SW03,
DQ080052,8/1/03,USA,AZ,Maricopoa,Mosquito-Culex,SW03,
DQ080053,8/1/03,USA,AZ,Apache,Mosquito-Culex,SW03,
DQ080054,8/1/03,USA,CA,Los_Angeles,Mosquito-Culex,WN02,
DQ080055,8/1/03,USA,CA,Imperial,Mosquito-Culex,WN02,
DQ080056,8/1/03,USA,CA,Imperial,Mosquito-Culex,WN02,
DQ080057,8/1/03,USA,CA,Los_Angeles,Bird-crow,WN02,
DQ080058,8/1/03,USA,CA,Los_Angeles,Bird-crow,WN02,
DQ080059,8/1/03,USA,CA,Sacramento,Bird-crow,WN02,
DQ080060,8/1/04,Mexico,Mexico,unknown,Bird-crow,WN02,
DQ080061,8/1/04,USA,LA,Iberia,Bird-other,WN02,
DQ080062,8/1/02,USA,LA,Iberia,Mosquito-other,NY99,
DQ080063,8/1/03,Mexico,Mexico,Baja_California,Bird-other,SW03,
DQ080064,8/1/03,Mexico,Mexico,Baja_California,Bird-other,SW03,
DQ080065,8/1/03,Mexico,Mexico,Baja_California,Bird-other,SW03,
DQ080066,8/1/03,Mexico,Mexico,Baja_California,Bird-other,SW03,
DQ080067,8/1/03,Mexico,Mexico,Baja_California,Bird-other,SW03,
DQ080068,8/1/03,Mexico,Mexico,Baja_California,Bird-other,SW03,
DQ080069,8/1/03,Mexico,Mexico,Tamaulipas,Horse,SW03,
DQ080070,8/1/03,Mexico,Mexico,Sonora,Bird-other,SW03,
DQ080071,8/1/02,USA,FL,Sumter,Horse,NY99,
DQ080072,8/1/01,USA,FL,Palm_Beach,Bird-other,NY99,
DQ164186,8/1/02,USA,NY,Queens,Bird-crow,WN02,
DQ164187,8/1/02,USA,NY,Broome,Bird-crow,NY99,
DQ164188,8/1/03,USA,NY,Westchester,Bird-crow,NY99,
DQ164189,8/1/03,USA,NY,Albany,Bird-crow,WN02,
DQ164190,8/1/03,USA,NY,Suffolk,Bird-crow,WN02,
DQ164191,8/1/03,USA,NY,Chautauqua,Bird-crow,WN02,
DQ164192,8/1/03,USA,NY,Rockland,Bird-crow,NY99,
DQ164193,8/1/02,USA,NY,Clinton,Bird-crow,WN02,
DQ164194,8/1/01,USA,NY,Suffolk,Bird-crow,NY99,
DQ164195,8/1/02,USA,NY,Nassau,Mosquito-Culex,WN02,
